Law clerks have assisted the Supreme Court Justices in various capacities, since the first one was hired by Justice Horace Gray in 1882.[1]:1 By the traditions and rules that have developed around this procedure today the eight Associate Justices on the Supreme Court of the United States have the opportunity to select four law clerks each term of the court. The Chief Justice is allowed five clerks, but often hires fewer.[1]:195 After retiring from the Court, a justice may continue to hire a law clerk, who may be assigned to provide additional assistance to an active justice, or assist the retired justice when sitting by designation with a lower court.

Contents  [hide] 
1 List of Supreme Court law clerks
2 Notes
3 See also
4 References
5 Additional sources
6 External links
List of Supreme Court law clerks[edit]
The following sortable table[a] lists more than 1,900 law clerks who have served for Supreme Court justices, the years their service began and ended, the law school they attended (with the year they graduated), and any previous clerkships they held.

Seat = Supreme Court Justice Seat[b]
Num = Order that Supreme Court Justice was appointed


Seat	Num	Justice	Law clerk	Started	Finished	Law school (year)	Previous clerkship
2	75	Benjamin N. Cardozo	Melvin H. Siegel	1932	1933	Harvard	
2	75	Benjamin N. Cardozo	Ambrose Doskow	1933	1934	Columbia	
2	75	Benjamin N. Cardozo	Alan M. Stroock	1934	1936	Yale	
2	75	Benjamin N. Cardozo	Joseph L. Rauh, Jr.	1936	1938	Harvard (1935)	
2	78	Felix Frankfurter	Joseph L. Rauh, Jr.	1939	1939	Harvard (1935)	Cardozo
2	78	Felix Frankfurter	Adrian S. Fisher	1939	1940	Harvard (1937)	Brandeis
2	78	Felix Frankfurter	Edward F. Prichard, Jr.	1939	1940	Harvard (1938)	none
2	78	Felix Frankfurter	Philip L. Graham	1940	1941	Harvard (1939)	S. F. Reed
2	78	Felix Frankfurter	Philip Elman	1941	1943	Harvard (1939)	Magruder (1st Cir.)
2	78	Felix Frankfurter	Stanley M. Silverberg	1943	1944		L. Hand (2d Cir.)
2	78	Felix Frankfurter	Philip Kurland	1945	1946	Harvard (1944)	J. Frank (2d Cir.)
2	78	Felix Frankfurter	Louis Henkin	1946	1947	Harvard (1940)	L. Hand (2d Cir.)
2	78	Felix Frankfurter	Irving J. Helman	1947	1948	Harvard (1942)	Magruder (1st Cir.)
2	78	Felix Frankfurter	Albert J. Rosenthal	1947	1948	Harvard (1941)	Magruder (1st Cir.)
2	78	Felix Frankfurter	William Thaddeus Coleman	1948	1949	Harvard (1946)	Goodrich (3d Cir.)
2	78	Felix Frankfurter	Elliot L. Richardson	1948	1949	Harvard (1947)	L. Hand (2d Cir.)
2	78	Felix Frankfurter	Hugh Calkins	1950	1951	Harvard (1949)	L. Hand (2d Cir.)
2	78	Felix Frankfurter	Vincent L. McKusick	1951	1952	Harvard (1950)	L. Hand (2d Cir.)
2	78	Felix Frankfurter	Alexander M. Bickel	1952	1953	Harvard (1952)	none
2	78	Felix Frankfurter	Frank E.A. Sander	1953	1954	Harvard (1952)	Magruder (1st Cir.)
2	78	Felix Frankfurter	James Vorenberg	1953	1954	Harvard (1951)	none
2	78	Felix Frankfurter	Andrew L. Kaufman	1954	1955	Harvard (1954)	none
2	78	Felix Frankfurter	E. Barrett Prettyman, Jr.	1954	1955	Virginia (1953)	R. H. Jackson
2	78	Felix Frankfurter	Harry H. Wellington	1955	1956	Harvard (1952)	Magruder (1st Cir.)
2	78	Felix Frankfurter	Jerome A. Cohen	1956	1957	Yale (1955)	Warren
2	78	Felix Frankfurter	Richard N. Goodwin	1958	1959	Harvard (1958)	none
2	78	Felix Frankfurter	Howard I. Kalodner	1958	1959	Harvard (1957)	J. Sloane (PA CP6)
2	78	Felix Frankfurter	Paul Bender	1959	1960	Harvard (1957)	L. Hand (2d Cir.)
2	78	Felix Frankfurter	Anthony G. Amsterdam	1960	1961	Penn (1960)	none
2	78	Felix Frankfurter	John D. French	1960	1961	Harvard (1960)	none
2	78	Felix Frankfurter	David P. Currie	1961	1962	Harvard (1960)	Friendly (2d Cir.)
2	94	Arthur Goldberg	Peter B. Edelman	1962	1963	Harvard (1961)	Friendly (2d Cir.)
2	94	Arthur Goldberg	Alan M. Dershowitz	1963	1964	Yale (1962)	Bazelon (D.C. Cir.)
2	94	Arthur Goldberg	Lee McTurnan	1963	1964	Chicago (1963)	none
2	94	Arthur Goldberg	Stephen G. Breyer	1964	1965	Harvard (1964)	none
2	94	Arthur Goldberg	Stephen Goldstein	1964	1965	Penn (1962)	none
2	95	Abe Fortas	John Griffiths	1965	1966	Yale	
2	95	Abe Fortas	Daniel P. Levitt	1965	1966		
2	95	Abe Fortas	H. David Rosenbloom	1967	1968	Harvard (1966)	none
2	95	Abe Fortas	Peter L. Zimroth	1967	1968	Yale (1966)	Bazelon (D.C. Cir.)
2	95	Abe Fortas	Martha A. Field	1968	1969	Chicago (1968)	none
2	95	Abe Fortas	Walter B. Slocombe	1968	1969	Harvard (1968)	none
2	98	Harry Blackmun	Daniel B. Edelman	1970	1971	Harvard (1969)	Blackmun (8th Cir.)
2	98	Harry Blackmun	Robert E. Gooding Jr.	1970	1971	Michigan (1969)	Schaefer (Ill.)
2	98	Harry Blackmun	Michel A. LaFond	1970	1971	American (1970)	none
2	98	Harry Blackmun	George T. Frampton	1971	1972	Harvard (1969)	
2	98	Harry Blackmun	Michel A. LaFond	1971	1972	American (1970)	Blackmun
2	98	Harry Blackmun	John Townsend Rich	1971	1972	Yale (1969)	Bazelon (D.C. Cir.)
2	98	Harry Blackmun	Randall P. Bezanson	1972	1973	Iowa (1971)	R. Robb (D.C. Cir.)
2	98	Harry Blackmun	Ralph I. Miller	1972	1973	Texas (1972)	none
2	98	Harry Blackmun	James W. Ziglar	1972	1973	GW (1972)	none
2	98	Harry Blackmun	James J. Knicely	1973	1974	Harvard (1972)	R. Robb (D.C. Cir.)
2	98	Harry Blackmun	Robert I. Richter	1973	1974	Chicago (1972)	I. Goldberg (5th Cir.)
2	98	Harry Blackmun	Benjamin S. Sharp	1973	1974	Penn State (1973)	
2	98	Harry Blackmun	Richard Blumenthal	1974	1975	Yale (1974)	none
2	98	Harry Blackmun	Karen Nelson Moore	1974	1975	Harvard (1973)	Wilkey (D.C. Cir.)
2	98	Harry Blackmun	William H. Block	1975	1976	Chicago (1974)	McGowan (D.C. Cir.)
2	98	Harry Blackmun	Donna M. Murasky	1975	1976	Chicago (1972)	(6th Cir.)
2	98	Harry Blackmun	David C. Patterson	1975	1976	Harvard (1974)	McGowan (D.C. Cir.)
2	98	Harry Blackmun	William H. Block	1976	1977	Chicago (1974)	Blackmun / McGowan (D.C. Cir.)
2	98	Harry Blackmun	Richard A. Meserve	1976	1977	Harvard (1975)	Kaplan (Mass.)
2	98	Harry Blackmun	Richard K. Willard	1976	1977	Harvard (1975)	A. Kennedy (9th Cir.)
2	98	Harry Blackmun	Diane Pamela Wood	1976	1977	Texas (1975)	I. Goldberg (5th Cir.)
2	98	Harry Blackmun	Keith P. Ellison	1977	1978	Yale (1976)	J. S. Wright (D.C. Cir.)
2	98	Harry Blackmun	Michael S. Sundermeyer	1977	1978	Virginia (1976)	Wisdom (5th Cir.)
2	98	Harry Blackmun	Ruth Wedgwood	1977	1978	Yale (1976)	Friendly (2d Cir.)
2	98	Harry Blackmun	Albert G. Lauber	1978	1979	Yale (1977)	Wilkey (D.C. Cir.)
2	98	Harry Blackmun	William A. McDaniel	1978	1979	Virginia (1977)	Seitz (3d Cir.)
2	98	Harry Blackmun	Thomas W. Merrill	1978	1979	Chicago (1977)	Bazelon (D.C. Cir.)
2	98	Harry Blackmun	Luther T. Munford	1978	1979	Virginia (1976)	Roney (5th Cir.)
2	98	Harry Blackmun	Dan T. Coenen	1979	1980	Cornell (1978)	Haynsworth (4th Cir.)
2	98	Harry Blackmun	Penda Hair	1979	1980	Harvard (1978)	Feinberg (2d Cir.)
2	98	Harry Blackmun	William J. Murphy	1979	1980	Penn (1978)	Seitz (3d Cir.)
2	98	Harry Blackmun	Mark C. Rahdert	1979	1980	Yale (1978)	Gurfein (2d Cir.)
2	98	Harry Blackmun	James J. Brudney	1980	1981	Yale (1979)	Gesell (D.D.C.)
2	98	Harry Blackmun	Susan G. Lahne	1980	1981	Virginia (1979)	Butzner (4th Cir.)
2	98	Harry Blackmun	Frank S. Holleman III	1981	1982	Harvard (1979)	H. Winter (4th Cir.)
2	98	Harry Blackmun	Kit Kinports	1981	1982	Penn (1980)	Mikva (D.C. Cir.)
2	98	Harry Blackmun	Harold Hongju Koh	1981	1982	Harvard (1980)	Wilkey (D.C. Cir.)
2	98	Harry Blackmun	Charles Rothfeld	1981	1982	Chicago (1980)	S. Robinson (D.C. Cir.)
2	98	Harry Blackmun	Alan S. Madans	1982	1983	Duke (1981)	Oakes (2d Cir.)
2	98	Harry Blackmun	David W. Ogden	1982	1983	Harvard (1981)	Sofaer (S.D.N.Y.)
2	98	Harry Blackmun	Cory Streisinger	1982	1983	Stanford (1980)	
2	98	Harry Blackmun	David E. Van Zandt	1982	1983	Yale (1981)	Leval (S.D.N.Y.)
2	98	Harry Blackmun	Richard A. Bartlett	1983	1984	Yale (1982)	Bazelon (D.C. Cir.)
2	98	Harry Blackmun	Scott R. McIntosh	1983	1984	Harvard	
2	98	Harry Blackmun	Elizabeth G. Taylor	1983	1984	Virginia (1982)	Coffin (1st Cir.)
2	98	Harry Blackmun	Vicki Been	1984	1985	NYU (1983)	Weinfeld (S.D.N.Y.)
2	98	Harry Blackmun	Mark D. Schneider	1984	1985	Columbia (1983)	Oakes (2d Cir.)
2	98	Harry Blackmun	Beth Heifetz	1985	1986	NYU (1983)	Mikva (D.C. Cir.)
2	98	Harry Blackmun	Pamela S. Karlan	1985	1986	Yale (1984)	Sofaer (S.D.N.Y.)
2	98	Harry Blackmun	Helane L. Morrison	1985	1986	Berkeley (1984)	Posner (7th Cir.)
2	98	Harry Blackmun	David A. Sklansky	1985	1986	Harvard (1984)	Mikva (D.C. Cir.)
2	98	Harry Blackmun	Beth S. Brinkmann	1986	1987	Yale (1985)	Kravitch (11th Cir.)
2	98	Harry Blackmun	Ellen E. Deason	1986	1987	Michigan (1985)	Edwards (D.C. Cir.)
2	98	Harry Blackmun	Chai Rachel Feldblum	1986	1987	Harvard (1985)	Coffin (1st Cir.)
2	98	Harry Blackmun	Emily Buss	1987	1988	Yale (1986)	L. Pollak (E.D. Pa.)
2	98	Harry Blackmun	Ann M. Kappler	1987	1988	NYU (1986)	Mikva (D.C. Cir.)
2	98	Harry Blackmun	Danny Ertel	1987	1988	Harvard (1986)	Wald (D.C. Cir.)
2	98	Harry Blackmun	Alan C. Michaels	1987	1988	Columbia (1986)	Feinberg (2d Cir.)
2	98	Harry Blackmun	Edward B. Foley	1988	1989	Columbia (1986)	P. Wald (D.C. Cir.)
2	98	Harry Blackmun	Kevin M. Kearney	1988	1989	Emory (1987)	J. Oakes (2d Cir.)
2	98	Harry Blackmun	Edward Lazarus	1988	1989	Yale (1987)	W. Norris (9th Cir.)
2	98	Harry Blackmun	Deborah C. Malamud	1988	1989	Chicago (1986)	L. Pollak (E.D. Pa.)
2	98	Harry Blackmun	Vikram D. Amar	1989	1990	Yale (1988)	W. Norris (9th Cir.)
2	98	Harry Blackmun	Anne Dupre	1989	1990	Georgia (1988)	Edmondson (11th Cir.)
2	98	Harry Blackmun	Martha Matthews	1989	1990	Berkeley (1987)	S. Breyer (1st Cir.)
2	98	Harry Blackmun	Ann Alpers	1990	1991	Stanford (1989)	W. Norris (9th Cir.)
2	98	Harry Blackmun	Lynn E. Blais	1990	1991	Harvard (1988)	Justice (E.D. Tex.)
2	98	Harry Blackmun	Michael A. Conley	1990	1991	Boston (1989)	Mikva (D.C. Cir.)
2	98	Harry Blackmun	Alan Jenkins	1990	1991	Harvard (1989)	R. Carter (S.D.N.Y.)
2	98	Harry Blackmun	Jeffrey A. Meyer	1991	1992	Yale (1991)	Oakes (2d Cir.)
2	98	Harry Blackmun	Stephanie Dangel	1991	1992	Yale (1991)	Leval (S.D.N.Y.)
2	98	Harry Blackmun	Molly McUsic	1991	1992	Harvard (1989)	
2	98	Harry Blackmun	Andrea Nervi Ward	1991	1992	Chicago (1990)	Mikva (D.C. Cir.)
2	98	Harry Blackmun	Sherry Colb	1992	1993	Harvard (1991)	Feinberg (2d Cir.)
2	98	Harry Blackmun	William S. Dodge	1992	1993	Yale (1991)	W. Norris (9th Cir.)
2	98	Harry Blackmun	Geoffrey M. Klineberg	1992	1993	Yale (1990)	Wald (D.C. Cir.) / Cabranes (D. Conn.)
2	98	Harry Blackmun	Andrew H. Schapiro	1992	1993	Harvard (1990)	Posner (7th Cir.)
2	98	Harry Blackmun	Radhika Rao (shared with Marshall)	1992	1993	Harvard (1990)	Cudahy (7th Cir.)
2	98	Harry Blackmun	Michelle L. Alexander	1993	1994	Stanford (1992)	Mikva (D.C. Cir.)
2	98	Harry Blackmun	Sarah H. Cleveland	1993	1994	Yale (1992)	Oberdorfer (D.D.C.)
2	98	Harry Blackmun	Ann Hubbard	1993	1994	Duke (1992)	Wald (D.C. Cir.)
2	98	Harry Blackmun	J. Paul Oetken	1993	1994	Yale (1991)	Cudahy (7th Cir.) / Oberdorfer (D.D.C.)
2	98	Harry Blackmun	Paul H. Schwartz (shared with Breyer)	1994	1995	North Carolina (1992)	Kravitch (11th Cir.)
2	98	Harry Blackmun	Michael J. Wishnie (shared with Breyer)	1995	1996	Yale (1993)	Sarokin (3d Cir.)
2	98	Harry Blackmun	Cecillia D. Wang (shared with Breyer)	1996	1997	Yale (1995)	W. Norris (9th Cir.)
2	98	Harry Blackmun	Laura A. Dickinson (shared with Breyer)	1997	1998	Yale (1996)	D. W. Nelson (9th Cir.)
2	98	Harry Blackmun	Clare Huntington (shared with Breyer)	1998	1999	Columbia (1996)	Garland (D.C. Cir.) / Cote (S.D.N.Y.)
2	108	Stephen Breyer	Henk J. Brands	1994	1995	Columbia (1990)	Souter / S. Breyer (1st Cir.)
2	108	Stephen Breyer	Lisa Schultz Bressman	1994	1995	Chicago (1993)	Cabranes (D. Conn.)
2	108	Stephen Breyer	Deanne E. Maynard	1994	1995	Harvard (1991)	Powell / S. Harris (D.D.C.)
2	108	Stephen Breyer	Jonathan T. Molot	1994	1995	Harvard (1992)	S. Breyer (1st Cir.)
2	108	Stephen Breyer	Yochai Benkler	1995	1996	Harvard (1994)	none
2	108	Stephen Breyer	Jennifer G. Newstead	1995	1996	Yale (1994)	Silberman (D.C. Cir.)
2	108	Stephen Breyer	Kevin K. Russell	1995	1996	Yale (1994)	W. Norris (9th Cir.)
2	108	Stephen Breyer	Neal K. Katyal	1996	1997	Yale (1995)	Calabresi (2d Cir.)
2	108	Stephen Breyer	Robin A. Lenhardt	1996	1997	Harvard (1995)	Bownes (1st Cir.)
2	108	Stephen Breyer	Aaron M. Panner	1996	1997	Harvard (1995)	Boudin (1st Cir.)
2	108	Stephen Breyer	Carolyn Shapiro	1996	1997	Chicago	Posner (7th Cir.)
2	108	Stephen Breyer	Rachel A. Harmon	1997	1998	Yale (1996)	Calabresi (2d Cir.)
2	108	Stephen Breyer	Theodore W. Ruger	1997	1998	Harvard (1995)	Boudin (1st Cir.)
2	108	Stephen Breyer	Linda T. Coberly	1998	1999	Michigan (1995)	D. Ginsburg (D.C. Cir.)
2	108	Stephen Breyer	Robert Hochman	1998	1999	Chicago (1997)	Posner (7th Cir.)
2	108	Stephen Breyer	Jennifer S. Martinez	1998	1999	Harvard (1997)	Calabresi (2d Cir.)
2	108	Stephen Breyer	Colin S. Stretch	1998	1999	Harvard (1996)	Silberman (D.C. Cir.)
2	108	Stephen Breyer	Erin Glenn Busby	1999	2000	Harvard (1998)	Boudin (1st Cir.)
2	108	Stephen Breyer	Marc E. Isserles	1999	2000	Harvard (1998)	Silberman (D.C. Cir.)
2	108	Stephen Breyer	Ketanji Brown Jackson	1999	2000	Harvard (1996)	Selya (1st Cir.) / Saris (D. Mass.)
2	108	Stephen Breyer	Tim Wu	1999	2000	Harvard (1998)	Posner (7th Cir.)
2	108	Stephen Breyer	Danielle Spinelli	2000	2001	Harvard (1999)	Calabresi (2d Cir.)
2	108	Stephen Breyer	Stacey M. Leyton	2000	2001	Stanford (1998)	Reinhardt (9th Cir.) / Illston (N.D. Cal.)
2	108	Stephen Breyer	Russell K. Robinson	2000	2001	Harvard (1998)	D. W. Nelson (9th Cir.)
2	108	Stephen Breyer	Alexander A. Reinert	2000	2001	NYU (1999)	H. Edwards (D.C. Cir.)
2	108	Stephen Breyer	Vince Chhabria	2001	2002	Berkeley (1998)	Browning (9th Cir.) / C. Breyer (N.D. Cal.)
2	108	Stephen Breyer	Risa Goluboff	2001	2002	Yale (2000)	Calabresi (2d Cir.)
2	108	Stephen Breyer	Mirah A. Horowitz	2001	2002	Duke (2000)	Wardlaw (9th Cir.)
2	108	Stephen Breyer	Michael E. Leiter	2001	2002	Harvard (2000)	Boudin (1st Cir.)
2	108	Stephen Breyer	Priya Aiyar	2002	2003	Yale (2001)	Garland (D.C. Cir.)
2	108	Stephen Breyer	John M. Golden	2002	2003	Harvard (2000)	Boudin (1st Cir.)
2	108	Stephen Breyer	Maritza U. Okata	2002	2003	Yale (2000)	Calabresi (2d Cir.)
2	108	Stephen Breyer	Anne K. Small	2002	2003	Harvard (2001)	Calabresi (2d Cir.)
2	108	Stephen Breyer	Ariela M. Migdal	2003	2004	NYU (2001)	H. Edwards (D.C. Cir.)
2	108	Stephen Breyer	Pratik Shah	2003	2004	Berkeley (2001)	W. Fletcher (9th Cir.)
2	108	Stephen Breyer	Alexandra M. Walsh	2003	2004	Stanford (2001)	Garland (D.C. Cir.)
2	108	Stephen Breyer	Davis J. Wang	2003	2004	Harvard (2002)	Boudin (1st Cir.)
2	108	Stephen Breyer	Christina Duffy Ponsa	2004	2005	Yale (1998)	Cabranes (2d Cir.)
2	108	Stephen Breyer	James P. Dowden	2004	2005	Boston College (2000)	Scirica (3d Cir.)
2	108	Stephen Breyer	Aimee A. Feinberg	2004	2005	Stanford (2002)	Tatel (D.C. Cir.)
2	108	Stephen Breyer	Jacob J. Sullivan	2004	2005	Yale (2003)	Calabresi (2d Cir.)
2	108	Stephen Breyer	Danielle Gray	2005	2006	Harvard (2003)	Garland (D.C. Cir.)
2	108	Stephen Breyer	Kathryn E. Judge	2005	2006	Stanford (2004)	Posner (7th Cir.)
2	108	Stephen Breyer	Jonathan Kravis	2005	2006	Yale (2004)	Garland (D.C. Cir.)
2	108	Stephen Breyer	John H. Longwell	2005	2006	Georgia (1999)	D. Ginsburg (D.C. Cir.) / V. Walker (N.D. Cal.)
2	108	Stephen Breyer	Jaren Janghorbani	2006	2007	Columbia (2004)	Jacobs (2d Cir.) / K. Wood (S.D.N.Y.)
2	108	Stephen Breyer	Tacy F. Flint	2006	2007	Chicago (2004)	Posner (7th Cir.)
2	108	Stephen Breyer	Stephen Shackelford	2006	2007	Harvard (2005)	Boudin (1st Cir.)
2	108	Stephen Breyer	Thiru Vignarajah	2006	2007	Harvard (2005)	Calabresi (2d Cir.)
2	108	Stephen Breyer	Michael S. Bosworth	2007	2008	Yale (2003)	Katzmann (2d Cir.) / Rakoff (S.D.N.Y.)
2	108	Stephen Breyer	Karen Dunn	2007	2008	Yale (2006)	Garland (D.C. Cir.)
2	108	Stephen Breyer	Eric J. Feigin	2007	2008	Stanford (2005)	Wilkinson (4th Cir.)
2	108	Stephen Breyer	Philippa Scarlett	2007	2008	Columbia (2003)	A. Williams (7th Cir.)
2	108	Stephen Breyer	Brianne Gorod	2008	2009	Yale (2005)	Katzmann (2d Cir.) / Rakoff (S.D.N.Y.)
2	108	Stephen Breyer	Seth Grossman	2008	2009	Yale (2005)	Calabresi (2d Cir.) / Reinhardt (9th Cir.)
2	108	Stephen Breyer	Aileen M. McGrath	2008	2009	Harvard (2007)	Boudin (1st Cir.)
2	108	Stephen Breyer	Matthew E. Price	2008	2009	Harvard (2006)	Boudin (1st Cir.)
2	108	Stephen Breyer	Andrew M. Crespo	2009	2010	Harvard (2008)	Reinhardt (9th Cir.)
2	108	Stephen Breyer	Bessie Dewar	2009	2010	Yale (2006)	W. Fletcher (9th Cir.) / L. Pollak (E.D. Pa.)
2	108	Stephen Breyer	Chris C. Fonzone	2009	2010	Harvard (2007)	Wilkinson (4th Cir.)
2	108	Stephen Breyer	Jennifer Nou	2009	2010	Yale (2008)	Posner (7th Cir.)
2	108	Stephen Breyer	Erika L. Myers	2010	2011	Stanford (2008)	Kozinski (9th Cir.)
2	108	Stephen Breyer	Brian Netter	2010	2011	Yale (2006)	J. A. W. Rogers (D.C. Cir.)
2	108	Stephen Breyer	Natalie Ram	2010	2011	Yale (2008)	Calabresi (2d Cir.)
2	108	Stephen Breyer	David Zionts	2010	2011	Harvard (2008)	Garland (D.C. Cir.)
2	108	Stephen Breyer	Rachel Bloomekatz	2011	2012	UCLA (2008)	Calabresi (2d Cir.) / Marshall (Mass.)
2	108	Stephen Breyer	Jonathan Bressler	2011	2012	Harvard (2010)	Boudin (1st Cir.)
2	108	Stephen Breyer	Andrew Dawson	2011	2012	Stanford (2008)	W. Fletcher (9th Cir.) / C. Breyer (N.D. Cal.)
2	108	Stephen Breyer	Rebecca Stone	2011	2012	NYU (2009)	Posner (7th Cir.)
2	108	Stephen Breyer	Kwaku Akowuah	2012	2013	Harvard (2004)	Katzmann (2d Cir.) / Garaufis (E.D.N.Y.)
2	108	Stephen Breyer	Emily Rebecca Gantt	2012	2013	Virginia (2011)	Boudin (1st Cir.)
2	108	Stephen Breyer	Joshua Geltzer	2012	2013	Yale (2011)	Kozinski (9th Cir.)
2	108	Stephen Breyer	Susannah Weaver	2012	2013	Georgetown (2008)	Katzmann (2d Cir.) / H. Kennedy (D.D.C.)
2	108	Stephen Breyer	Mark Savignac	2013	2014	Harvard (2011)	Posner (7th Cir.) / Feinerman (N.D. Ill.)
2	108	Stephen Breyer	Thomas Schmidt	2013	2014	Yale (2011)	Garland (D.C. Cir.)
2	108	Stephen Breyer	Julia Sheketoff	2013	2014	NYU (2010)	Sentelle (D.C. Cir.) / Gleeson (E.D.N.Y.)
2	108	Stephen Breyer	Sara Aronchick Solow	2013	2014	Yale (2011)	Scirica (3d Cir.) / Baylson (E.D. Pa.)
2	108	Stephen Breyer	Ilana Gelfman	2014		Yale (2009)	Katzmann (2d Cir.) / Woodlock (D. Mass.)
2	108	Stephen Breyer	Michael Gervais	2014		Yale (2011)	Kozinski (9th Cir.)
2	108	Stephen Breyer	Aaron Scherzer	2014		Yale (2010)	Reinhardt (9th Cir.) / Rakoff (S.D.N.Y.)
2	108	Stephen Breyer	Kendall Turner	2014		Stanford (2013)	Garland (D.C. Cir.)
3	36	Samuel Freeman Miller					
3	52	Henry Billings Brown	A. B. Hall	1890	1896		
3	60	William Henry Moody					
3	64	Joseph Rucker Lamar	S. Edward Widdifield	1910	1912		R. W. Peckham
3	64	Joseph Rucker Lamar	John E. Hoover	1912	1916		Harlan I / R. W. Peckham
3	67	Louis Brandeis	Calvert Magruder	1916	1917	Harvard (1916)	none
3	67	Louis Brandeis	Dean G. Acheson	1919	1921	Harvard (1918)	none
3	67	Louis Brandeis	Samuel H. Maslon	1923	1924	Harvard (1923)	none
3	67	Louis Brandeis	James M. Landis	1925	1926	Harvard (1924)	none
3	67	Louis Brandeis	Henry J. Friendly	1927	1928	Harvard (1927)	none
3	67	Louis Brandeis	Harry Shulman	1929	1934	Harvard (1926)	
3	67	Louis Brandeis	H. Thomas Austern	1930	1931	Harvard (1929)	
3	67	Louis Brandeis	Paul A. Freund	1932	1933	Harvard (1932)	
3	67	Louis Brandeis	Nathaniel L. Nathanson	1934	1935	Harvard (1933)	Mack (2d Cir.)
3	67	Louis Brandeis	David Riesman	1935	1936	Harvard (1934)	none
3	67	Louis Brandeis	James Willard Hurst	1935	1937	Harvard (1935)	none
3	67	Louis Brandeis	Adrian S. Fisher	1938	1939	Harvard (1937)	
3	79	William O. Douglas	C. David Ginsburg	1939	1940	Harvard	none
3	79	William O. Douglas	Stanley C. Soderland	1939	1940	Washington (1939)	none
3	79	William O. Douglas	Vern Countryman	1942	1943	Washington (1942)	none
3	79	William O. Douglas	Eugene A. Beyer, Jr.	1943	1944		
3	79	William O. Douglas	Lucile Lomen	1944	1945	Washington (1944)	none
3	79	William O. Douglas	J. Roger Wollenberg	1946	1947	Berkeley (1942)	none
3	79	William O. Douglas	Stanley E. Sparrowe	1947	1948		
3	79	William O. Douglas	Warren M. Christopher	1949	1950	Stanford (1949)	none
3	79	William O. Douglas	John G. Burnett	1950	1951	Yale	none
3	79	William O. Douglas	Hans A. Linde	1950	1951	Berkeley (1950)	none
3	79	William O. Douglas	Marshall L. Small	1951	1952	Stanford (1951)	none
3	79	William O. Douglas	Charles E. Ares	1952	1953	Arizona (1952)	none
3	79	William O. Douglas	Harvey M. Grossman	1954	1955	UCLA (1954)	
3	79	William O. Douglas	William A. Norris	1955	1956	Stanford (1954)	none
3	79	William O. Douglas	William Cohen	1956	1957	UCLA (1956)	none
3	79	William O. Douglas	Charles Rickhauser, Jr.	1957	1958	UCLA (1957)	none
3	79	William O. Douglas	Steven B. Duke	1959	1960	Arizona (1959)	none
3	79	William O. Douglas	Bernard E. Jacob	1960	1961	Berkeley (1960)	none
3	79	William O. Douglas	Thomas J. Klitgaard	1961	1962	Berkeley (1962)	none
3	79	William O. Douglas	Jared G. Carter	1962	1963	Stanford (1962)	none
3	79	William O. Douglas	James S. Campbell	1964	1965	Stanford	
3	79	William O. Douglas	Jerome B. Falk, Jr.	1965	1966	Berkeley (1965)	none
3	79	William O. Douglas	Lewis Merrifield	1966	1967		
3	79	William O. Douglas	William A. Reppy, Jr.	1967	1968	Stanford (1966)	Peters (Cal.)
3	79	William O. Douglas	Carl J. Seneker II	1967	1968	Berkeley (1967)	none
3	79	William O. Douglas	Peter Westen	1968	1969	Berkeley (1968)	none
3	79	William O. Douglas	Thomas C. Armitage	1969	1970	UCLA (1969)	
3	79	William O. Douglas	Dennis C. Brown	1970	1971	UCLA (1970)	none
3	79	William O. Douglas	Lucas A. Powe, Jr.	1970	1971	Washington (1968)	
3	79	William O. Douglas	William H. Alsup	1971	1972	Harvard (1971)	none
3	79	William O. Douglas	Richard L. Jacobson	1971	1972	USC (1970)	Ely (9th Cir.)
3	79	William O. Douglas	Kenneth R. Reed	1971	1972	Arizona (1971)	none
3	79	William O. Douglas	Carol S. Bruch	1972	1973	Berkeley (1972)	none
3	79	William O. Douglas	Peter M. Kreindler	1972	1973	Harvard (1971)	I. Kaufman (2d Cir.)
3	79	William O. Douglas	Janet Meik	1972	1973	USC (1972)	none
3	79	William O. Douglas	Ira M. Ellman	1973	1974	Berkeley (1973)	none
3	79	William O. Douglas	Alan Austin	1974	1975	Stanford (1974)	
3	79	William O. Douglas	Jay Kelly Wright	1974	1975	Harvard (1973)	Leventhal (D.C. Cir.)
3	79	William O. Douglas	Alan B. Sternstein	1975	November 12, 1975	Arizona (1975)	none
3	79	William O. Douglas	Dennis J. Hutchinson	1976	1977	Texas (1974)	B. White / Tuttle (1st Cir.)
3	79	William O. Douglas	Montana J. Podva	1977	1980		
3	101	John Paul Stevens	Sharon Baldwin	1975	1976	Chicago (1975)	Stevens (7th Cir.)
3	101	John Paul Stevens	Charles (Skip) Paul	1975	1976	Santa Clara (1975)	
3	101	John Paul Stevens	George A. Rutherglen	1975	1976	Berkeley (1974)	J. C. Wallace (9th Cir.)
3	101	John Paul Stevens	Daniel A. Farber	1976	1977	Illinois (1975)	Tone (7th Cir.)
3	101	John Paul Stevens	Francis S. Blake	1976	1977	Columbia (1976)	Feinberg (2d Cir.)
3	101	John Paul Stevens	Gregory D. Huffaker, Jr.	1976	1977	Harvard (1976)	
3	101	John Paul Stevens	David V. Kirby	1976	1977	Northwestern (1975)	Sprecher (7th Cir.)
3	101	John Paul Stevens	Stewart A. Baker	1977	1978	UCLA (1976)	Coffin (1st Cir.)
