Law clerks have assisted the Supreme Court Justices in various capacities, since the first one was hired by Justice Horace Gray in 1882.[1]:1 By the traditions and rules that have developed around this procedure today the eight Associate Justices on the Supreme Court of the United States have the opportunity to select four law clerks each term of the court. The Chief Justice is allowed five clerks, but often hires fewer.[1]:195 After retiring from the Court, a justice may continue to hire a law clerk, who may be assigned to provide additional assistance to an active justice, or assist the retired justice when sitting by designation with a lower court.

Contents  [hide] 
1 List of Supreme Court law clerks
2 Notes
3 See also
4 References
5 Additional sources
6 External links
List of Supreme Court law clerks[edit]
The following sortable table[a] lists more than 1,900 law clerks who have served for Supreme Court justices, the years their service began and ended, the law school they attended (with the year they graduated), and any previous clerkships they held.

Seat = Supreme Court Justice Seat[b]
Num = Order that Supreme Court Justice was appointed


Seat	Num	Justice	Law clerk	Started	Finished	Law school (year)	Previous clerkship
CJ	97	Warren E. Burger	Christopher J. Wright	1981	1982	Stanford (1980)	Sneed (9th Cir.)
CJ	97	Warren E. Burger	Rochelle C. Dreyfuss	1982	1983	Columbia (1981)	Feinberg (2d Cir.)
CJ	97	Warren E. Burger	Douglas Levene	1982	1983	Michigan (1981)	Lombard (2d Cir.)
CJ	97	Warren E. Burger	Thomas B. Green	1982	1983	Utah	
CJ	97	Warren E. Burger	Mark B. Helm	1983	1984	Harvard (1982)	McGowan (D.C. Cir)
CJ	97	Warren E. Burger	Rebecca Hurley	1983	1984	SMU (1982)	I. Goldberg (5th Cir.)
CJ	97	Warren E. Burger	Peter M. Lieb	1983	1984	Michigan (1982)	Kearse (2d Cir.)
CJ	97	Warren E. Burger	J. Michael Luttig	1983	1984	Virginia (1981)	Scalia (D.C. Cir.)
CJ	97	Warren E. Burger	Ray W. Campbell	1984	1985	Virginia (1983)	Wilkey (D.C. Cir)
CJ	97	Warren E. Burger	Michael R. Lazerwitz	1984	1985	Chicago (1983)	Friendly (2d Cir.)
CJ	97	Warren E. Burger	Wallace K. Lightsey	1984	1985	Harvard (1983)	Wisdom (5th Cir.)
CJ	97	Warren E. Burger	Paul G. Cassell	1985	1986	Stanford (1984)	Scalia (D.C. Cir.)
CJ	97	Warren E. Burger	Karl S. Coplan	1985	1986	Columbia (1984)	Garth (3d Cir.)
CJ	97	Warren E. Burger	Timothy E. Flanigan	1985	1986	Virginia (1981)	none
CJ	97	Warren E. Burger	Matthew M. Neumeier	1985	1986	Harvard (1984)	J. C. Wallace (9th Cir.)
CJ	97	Warren E. Burger	Gene C. Schaerr (shared with Scalia)	1986	1987	Yale (1985)	Starr (D.C. Cir)
CJ	97	Warren E. Burger	Bruce P. Brown	1986	1987	Georgia (1984)	Tamm (D.C. Cir)
CJ	97	Warren E. Burger	Gregory S. Dovel (shared with Scalia)	1987	1988	Harvard (1986)	J. C. Wallace (9th Cir.)
